PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
4446;Danner, Felix;WET, P;0/0;-;0/1;0%;0/0;-;0/0;-;1/1;100%;0/0;-
4447;Weissgerber, Lars;WET, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
4448;Kusan, Tomislav;WET, P;0/0;-;0/1;0%;0/0;-;0/0;-;1/1;100%;0/0;-
4449;Srsen, Ivan;WET, RB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
4450;Feld, Alexander;WET, CB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
4451;Mirkulovski, Filip;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4452;Zelenovic, Nemanja;FAG, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4453;Fredriksen, Magnus;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4454;Novak, Domen;WET, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4455;Goller, Axel;FAG, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4456;Mellegard, Emil;WET, LW;0/0;-;0/1;0%;0/0;-;0/1;0%;0/0;-;0/0;-
4457;Ivic, Sime;LEI, RB;3/3;100%;1/1;100%;3/4;75%;0/1;0%;0/0;-;0/0;-
4458;Binder, Lukas;LEI, LW;0/0;-;0/0;-;0/0;-;5/8;62.5%;0/0;-;1/1;100%
4459;Urban, Tomas;GWD, RW;2/4;50%;1/2;50%;0/0;-;1/6;16.67%;0/0;-;2/2;100%
4460;Korte, Mats;GWD, LW;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-;1/1;100%
4461;Pieczkowski, Niclas;GWD, CB;0/0;-;1/2;50%;3/4;75%;0/0;-;1/1;100%;0/0;-
4462;Larsen, Patrick Wiesmach;LEI, RW;0/1;0%;0/0;-;0/0;-;3/3;100%;0/0;-;0/0;-
4463;Darmoul, Mohamed Amine;GWD, CB;1/2;50%;1/1;100%;0/0;-;0/0;-;0/0;-;1/1;100%
4464;Mamic, Marko;LEI, LB;0/0;-;0/1;0%;3/4;75%;0/0;-;0/0;-;0/0;-
4465;Richtzenhain, Justus Nicolas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
4466;Gebala, Maciej;LEI, P;0/0;-;0/1;0%;0/0;-;0/0;-;2/2;100%;0/0;-
4467;Krzikalla, Lucas;LEI, RW;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4468;Meister, Lucas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
4469;Jukic, Nikola;GWD, RB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
4470;Sunnefeldt, Oskar;LEI, LB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
4471;Remke, Gregor;LEI, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4472;Milosevic, Alen;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4473;Thiele, Joshua;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4474;Grebenc, Jan;GWD, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4475;Esche, Marc;LEI, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4476;Kranzmann, Florian;GWD, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4477;Holzhacker, Paul;GWD, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4478;Bones, Paul;LEI, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4479;Ernst, Simon;LEI, CB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
4480;Witzke, Luca;LEI, CB;0/0;-;0/2;0%;0/1;0%;0/0;-;0/0;-;0/0;-
4481;Schluroff, Miro;GWD, LB;0/0;-;0/1;0%;0/2;0%;0/0;-;0/0;-;0/0;-
4482;Heymann, Sebastian;FAG, LB;0/0;-;2/3;66.67%;6/8;75%;0/0;-;0/0;-;1/1;100%
4483;Mertens, Lukas;SCM, LW;0/0;-;0/0;-;0/0;-;5/5;100%;0/0;-;2/2;100%
4484;Jensen, Magnus Saugstrup;SCM, P;0/0;-;1/1;100%;0/0;-;0/0;-;3/3;100%;1/1;100%
4485;Magnusson, Omar Ingi;SCM, RB;2/3;66.67%;2/2;100%;0/1;0%;0/0;-;1/1;100%;0/0;-
4486;Weber, Philipp;SCM, CB;0/0;-;2/2;100%;2/5;40%;0/0;-;0/0;-;1/1;100%
4487;Kirsten Evert Smits, Kay;SCM, RB;0/0;-;4/4;100%;0/0;-;0/0;-;0/0;-;0/0;-
4488;Gulliksen, Kevin Maageroe;FAG, RW;4/4;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4489;Kristjansson, Gisli Thorgeir;SCM, CB;0/0;-;4/4;100%;0/1;0%;0/0;-;0/0;-;0/0;-
4490;Schiller, Marcel;FAG, LW;1/3;33.33%;2/2;100%;0/0;-;1/4;25%;0/0;-;0/0;-
4491;Kozina, Kresimir;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-
4492;Hermann, Till;FAG, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;1/1;100%
4493;Pettersson, Daniel;SCM, RW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-
4494;Gullerud, Magnus;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;1/1;100%
4495;Lindenchrone Andersen, Jon;FAG, RB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
4496;Musche, Matthias;SCM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4497;Bezjak, Marko;SCM, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
4498;Chrapkowski, Piotr;SCM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
4499;Hejny, Maximilian;FAG, RB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
4500;Ellebaek, Tobias;FAG, LB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
4501;Bagersted, Jacob;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4502;Damgaard Nielsen, Michael;SCM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4503;O'Sullivan, Christian;SCM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4504;Sarac, Josip;FAG, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4505;Goller, Axel;FAG, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4506;Eissing, Felix;SCM, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4507;Zelenovic, Nemanja;FAG, RB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
4508;Neudeck, Oskar;FAG, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
4509;Hafner, Kai;MTM, RB;0/0;-;6/9;66.67%;0/0;-;0/0;-;0/0;-;0/0;-
4510;Urban, Tomas;GWD, RW;4/4;100%;0/1;0%;0/0;-;2/5;40%;0/0;-;0/1;0%
4511;Jonsson, Elvar Orn;MTM, CB;0/0;-;4/4;100%;1/2;50%;0/0;-;0/0;-;0/0;-
4512;Schluroff, Miro;GWD, LB;0/0;-;1/1;100%;4/7;57.14%;0/0;-;0/0;-;0/0;-
4513;Kunkel, Yves;MTM, LW;0/1;0%;0/0;-;0/0;-;4/6;66.67%;0/0;-;0/0;-
4514;Kuhn, Julius;MTM, LB;0/0;-;2/2;100%;1/7;14.29%;0/0;-;0/0;-;1/1;100%
4515;Reichmann, Tobias;MTM, RW;3/3;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4516;Meister, Lucas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/0;-
4517;Kastening, Timo;MTM, RW;0/1;0%;0/0;-;0/0;-;3/5;60%;0/0;-;0/0;-
