PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
2254;Kastening, Timo;MTM, RW;4/4;100%;1/1;100%;0/0;-;2/3;66.67%;0/0;-;1/1;100%
2255;Kristjansson, Viggo;TVB, RB;0/0;-;2/5;40%;5/8;62.5%;0/0;-;0/0;-;1/1;100%
2256;Kuhn, Julius;MTM, LB;0/0;-;1/2;50%;2/4;50%;0/0;-;0/0;-;3/3;100%
2257;Jonsson, Elvar Orn;MTM, CB;0/0;-;4/4;100%;1/2;50%;0/0;-;0/0;-;0/0;-
2258;Gomes, Andre;MTM, LB;0/0;-;3/3;100%;1/2;50%;0/0;-;0/0;-;0/0;-
2259;Hanusz, Egon;TVB, CB;0/0;-;1/1;100%;1/1;100%;0/0;-;1/1;100%;0/0;-
2260;Hafner, Kai;MTM, RB;0/0;-;1/3;33.33%;0/0;-;0/0;-;1/1;100%;1/1;100%
2261;Peshevski, Zarko;TVB, P;0/0;-;1/2;50%;0/0;-;0/0;-;2/3;66.67%;0/0;-
2262;Zieker, Patrick;TVB, LW;2/3;66.67%;0/0;-;0/0;-;1/2;50%;0/1;0%;0/1;0%
2263;Lonn, Adam;TVB, LB;0/0;-;1/1;100%;1/6;16.67%;0/0;-;0/0;-;1/1;100%
2264;Rothlisberger, Samuel;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2265;Arnarsson, Arnar Freyr;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2266;Allendorf, Michael;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%
2267;Pfattheicher, Sascha;TVB, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;1/1;100%
2268;Pavlovic, Domagoj;MTM, CB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
2269;Weiss, Dominik;TVB, LB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
2270;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2271;Kalarash, Gleb;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2272;Augustinussen, Sebastian;TVB, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2273;Kuntscher, David;MTM, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2274;Fuchs, Julian;MTM, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2275;Runarsson, Andri Mar;TVB, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2276;Petersson, Alexander;MTM, RB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
2277;Meschke, Benjamin;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
2278;Kunkel, Yves;MTM, LW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2279;Schulze, Alexander;TVB, LW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2280;Schiller, Marcel;FAG, LW;1/2;50%;0/0;-;0/0;-;5/10;50%;1/1;100%;3/3;100%
2281;Heymann, Sebastian;FAG, LB;0/0;-;3/4;75%;1/5;20%;0/0;-;0/0;-;3/3;100%
2282;Staar, Max;GWD, RW;0/0;-;1/1;100%;0/0;-;3/4;75%;0/0;-;2/2;100%
2283;Pieczkowski, Niclas;GWD, CB;0/0;-;4/4;100%;1/3;33.33%;0/0;-;0/1;0%;1/2;50%
2284;Korte, Mats;GWD, LW;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-;1/1;100%
2285;Urban, Tomas;GWD, RW;2/3;66.67%;1/3;33.33%;0/0;-;0/0;-;0/0;-;2/2;100%
2286;Kozina, Kresimir;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-
2287;Darmoul, Mohamed Amine;GWD, CB;0/0;-;4/6;66.67%;0/1;0%;0/0;-;0/0;-;0/0;-
2288;Gulliksen, Kevin Maageroe;FAG, RW;0/0;-;0/0;-;0/0;-;2/4;50%;0/0;-;1/1;100%
2289;Jukic, Nikola;GWD, RB;0/0;-;1/3;33.33%;2/3;66.67%;0/0;-;0/0;-;0/0;-
2290;Bagersted, Jacob;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
2291;Lindenchrone Andersen, Jon;FAG, RB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;1/1;100%
2292;Kneule, Tim;FAG, CB;0/0;-;1/1;100%;1/3;33.33%;0/0;-;0/0;-;0/0;-
2293;Janke, Maximilian;GWD, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
2294;Neudeck, Oskar;FAG, LB;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
2295;Hermann, Till;FAG, LW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
2296;Zelenovic, Nemanja;FAG, RB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
2297;Zeitz, Christian;GWD, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2298;Richtzenhain, Justus Nicolas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2299;Thiele, Joshua;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2300;Ellebaek, Tobias;FAG, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2301;Goller, Axel;FAG, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2302;Kranzmann, Florian;GWD, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2303;Hermeling, Fynn Lukas;GWD, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2304;Grebenc, Jan;GWD, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
2305;Meister, Lucas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
2306;Heiny, Lutz;NLB, LB;0/0;-;4/5;80%;3/6;50%;0/0;-;0/0;-;0/0;-
2307;Elisson, Bjarki Mar;TBV, LW;3/5;60%;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-
2308;Schagen, Bobby;TBV, RW;0/0;-;0/0;-;0/0;-;5/5;100%;0/0;-;0/0;-
2309;Carlsbogard, Jonathan;TBV, LB;0/0;-;1/1;100%;4/5;80%;0/0;-;0/0;-;0/0;-
2310;Skroblien, Tom;NLB, LW;3/3;100%;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-
2311;Suton, Tim;TBV, CB;0/0;-;3/3;100%;1/2;50%;0/0;-;0/0;-;0/0;-
2312;Mrakovcic, Luka;NLB, CB;0/0;-;4/5;80%;0/1;0%;0/0;-;0/0;-;0/0;-
2313;Mundus, Marvin;NLB, RW;0/0;-;2/2;100%;1/1;100%;0/0;-;0/0;-;0/0;-
2314;Cederholm, Andreas;TBV, RB;0/0;-;3/4;75%;0/1;0%;0/0;-;0/0;-;0/0;-
2315;Simak, Frederik;TBV, LB;2/3;66.67%;0/2;0%;0/2;0%;0/0;-;0/0;-;1/1;100%
2316;Strosack, Peter;NLB, RW;0/0;-;1/1;100%;0/0;-;1/1;100%;0/0;-;0/0;-
2317;Petrovsky, Leos;NLB, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/1;100%;0/0;-
2318;Baumgartner, Florian;NLB, RB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
2319;Speckmann, Jan-Eric;NLB, LW;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2320;Nissen, Marek;NLB, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
2321;Reitemann, Michel;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2322;Hutecek, Lukas;TBV, LB;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-
2323;Kogut, Andrej;TBV, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2324;Guardiola Villaplana, Gedeon;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2325;Guardiola Villaplana, Isaias;TBV, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2326;Drager, Yannick;NLB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
2327;Zerbe, Lukas;TBV, RW;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2328;Schwarzer, Kian;TBV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%
2329;Spohn, Valentin;NLB, LB;0/0;-;0/1;0%;0/1;0%;0/0;-;0/0;-;0/0;-
2330;Petreikis, Benas;NLB, CB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
2331;Wanne, Hampus;SGF, LW;3/3;100%;0/1;0%;0/0;-;3/3;100%;0/0;-;1/2;50%
2332;Larsen, Mads Mensah;SGF, CB;0/0;-;0/0;-;6/7;85.71%;0/0;-;0/0;-;0/0;-
2333;Gottfridsson, Jim;SGF, CB;0/0;-;0/1;0%;5/5;100%;0/0;-;0/0;-;0/0;-
2334;Svan, Lasse Hansen;SGF, RW;0/0;-;1/1;100%;0/1;0%;3/3;100%;0/0;-;1/2;50%
2335;Schmid, Andre;RNL, CB;0/0;-;1/4;25%;4/6;66.67%;0/0;-;0/0;-;0/0;-
2336;Einarsson, Teitur Orn;SGF, RB;0/0;-;1/2;50%;3/3;100%;0/0;-;0/0;-;0/0;-
2337;Nilsson, Lukas;RNL, LB;0/0;-;2/4;50%;2/4;50%;0/0;-;0/0;-;0/0;-
2338;Lagergren, Albin;RNL, RB;0/0;-;1/1;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
2339;Groetzki, Patrick;RNL, RW;0/0;-;1/1;100%;0/0;-;2/4;50%;0/0;-;0/0;-
2340;Kohlbacher, Jannik;RNL, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/3;33.33%;1/1;100%
2341;Ahouansou, Philipp;RNL, LB;0/0;-;0/0;-;3/6;50%;0/0;-;0/0;-;0/0;-
2342;Golla, Johannes;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%
2343;Horzen, Kristjan;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
2344;Vest Kirkelokke, Niclas;RNL, RB;0/0;-;0/0;-;2/5;40%;0/0;-;0/0;-;0/0;-
2345;Hald Jensen, Simon;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2346;Gensheimer, Uwe;RNL, LW;1/1;100%;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2347;Mensing, Hans Aaron;SGF, LB;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-;0/0;-
2348;Muller, Michael;SGF, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2349;Patrail, Mait;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2350;Steinhauser, Marius;SGF, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2351;Lindskog, Anton;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2352;Rod, Magnus;SGF, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2353;Abutovic, Ilija;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2354;Gislason, Ymir Orn;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2355;Helander, Benjamin;RNL, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2356;Jakobsen, Emil;SGF, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2357;Meyer-Siebert, Julius;SGF, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2358;Knorr, Juri;RNL, CB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
2359;Magnusson, Omar Ingi;SCM, RB;1/1;100%;2/2;100%;2/3;66.67%;0/0;-;0/0;-;4/4;100%
2360;Andersson, Lasse Bredekjaer;BER, LB;0/0;-;2/3;66.67%;3/8;37.5%;0/0;-;0/0;-;1/1;100%
2361;Lindberg, Hans;BER, RW;4/4;100%;0/0;-;0/0;-;1/1;100%;0/0;-;1/1;100%
2362;Damgaard Nielsen, Michael;SCM, LB;0/0;-;2/2;100%;4/8;50%;0/0;-;0/0;-;0/0;-
2363;Mertens, Lukas;SCM, LW;0/0;-;1/1;100%;1/1;100%;3/4;75%;0/1;0%;0/0;-
2364;O'Sullivan, Christian;SCM, CB;0/0;-;1/1;100%;1/1;100%;0/0;-;0/0;-;2/2;100%
2365;Marsenic, Mijajlo;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-
2366;Vujovic, Milos;BER, LW;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-;0/1;0%
2367;Holm, Jacob Tandrup;BER, CB;0/0;-;4/6;66.67%;0/2;0%;0/0;-;0/0;-;0/0;-
2368;Jensen, Magnus Saugstrup;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
2369;Kristjansson, Gisli Thorgeir;SCM, CB;0/0;-;2/2;100%;1/3;33.33%;0/0;-;0/0;-;0/0;-
2370;Koch, Johan;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
2371;Kopljar, Marko;BER, RB;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-
2372;Hornke, Tim;SCM, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
2373;Kirsten Evert Smits, Kay;SCM, RB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
2374;Chrapkowski, Piotr;SCM, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
2375;Weber, Philipp;SCM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2376;Gullerud, Magnus;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2377;Matthes, Tim;BER, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2378;Chrintz, Valter;BER, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2379;Lichtlein, Nils;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2380;Langhoff, Matthes;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2381;Bezjak, Marko;SCM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%
2382;Preuss, Moritz;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
2383;Pettersson, Daniel;SCM, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2384;Michalczik, Marian;BER, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
2385;Ekberg, Niclas;THW, RW;5/6;83.33%;0/0;-;0/0;-;1/2;50%;0/0;-;1/1;100%
2386;Bilyk, Nikola;THW, LB;0/0;-;4/4;100%;2/5;40%;0/0;-;0/0;-;0/1;0%
2387;Duvnjak, Domagoj;THW, CB;0/0;-;1/1;100%;1/1;100%;0/0;-;0/0;-;2/2;100%
2388;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-
2389;Mavers, Veit;HAN, CB;1/1;100%;2/2;100%;1/4;25%;0/0;-;0/0;-;0/0;-
2390;Martinovic, Ivan;HAN, RB;0/0;-;1/2;50%;2/5;40%;0/0;-;0/0;-;1/1;100%
2391;Dahmke, Rune;THW, LW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;1/1;100%
2392;Cehte, Nejc;HAN, RB;0/0;-;1/1;100%;1/3;33.33%;1/1;100%;0/0;-;0/0;-
2393;Buchner, Vincent;HAN, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;1/1;100%
2394;Fischer, Justus;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
2395;Brozovic, Ilija;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
2396;Sagosen, Sander;THW, CB;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-
2397;Reinkind, Harald;THW, RB;0/0;-;0/1;0%;2/4;50%;0/0;-;0/0;-;0/0;-
2398;Hansen, Johan a Plogv;HAN, RW;1/3;33.33%;1/1;100%;0/0;-;0/2;0%;0/0;-;0/0;-
2399;Bohm, Fabian;HAN, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
2400;Roscheck, Bastian;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2401;Krone, Jannes;HAN, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
2402;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
2403;Wiencek, Patrick;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
2404;Weinhold, Steffen;THW, RB;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-
2405;Hanne, Martin;HAN, LB;0/0;-;0/1;0%;1/2;50%;0/0;-;0/0;-;0/0;-
2406;Kuzmanovski, Filip;HAN, LB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
2407;Feise, Hannes;HAN, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2408;Zarabec, Miha;THW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2409;Landin Jacobsen, Magnus;THW, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2410;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2411;Ayar, Koray;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2412;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2413;Binder, Lukas;LEI, LW;0/0;-;0/0;-;0/0;-;6/7;85.71%;1/1;100%;2/2;100%
2414;Rubin, Lenny;WET, LB;0/0;-;3/3;100%;4/8;50%;0/0;-;0/0;-;1/1;100%
2415;Gebala, Maciej;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;5/5;100%;0/0;-
2416;Kusan, Tomislav;WET, P;0/0;-;0/1;0%;0/0;-;0/0;-;5/5;100%;0/0;-
2417;Krzikalla, Lucas;LEI, RW;3/3;100%;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
2418;Holst, Maximilian;WET, LW;3/3;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2419;Mamic, Marko;LEI, LB;0/0;-;2/4;50%;1/1;100%;0/0;-;0/0;-;0/0;-
2420;Witzke, Luca;LEI, CB;0/0;-;1/2;50%;2/3;66.67%;0/0;-;0/0;-;0/0;-
2421;Novak, Domen;WET, RW;0/0;-;0/0;-;0/0;-;2/5;40%;1/1;100%;0/0;-
2422;Hanemann, Hendrik;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
2423;Mellegard, Emil;WET, LW;0/0;-;0/0;-;0/0;-;0/2;0%;1/1;100%;1/1;100%
2424;Nyfjall, Adam;WET, P;0/0;-;0/2;0%;0/0;-;0/0;-;2/3;66.67%;0/0;-
2425;Fredriksen, Magnus;WET, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
2426;Weissgerber, Lars;WET, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%
2427;Ivic, Sime;LEI, RB;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-;0/0;-
2428;Srsen, Ivan;WET, RB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
2429;Remke, Gregor;LEI, RB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
2430;Jotic, Lovro;LEI, CB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
2431;Larsen, Patrick Wiesmach;LEI, RW;0/0;-;0/0;-;0/0;-;1/4;25%;0/0;-;0/0;-
2432;Feld, Alexander;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2433;Ernst, Simon;LEI, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2434;Mirkulovski, Filip;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2435;Esche, Marc;LEI, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2436;Sunnefeldt, Oskar;LEI, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
2437;Cavor, Stefan;WET, RB;0/0;-;0/3;0%;0/1;0%;0/0;-;0/0;-;0/0;-
2438;Forsell Schefvert, Olle;WET, LB;0/0;-;0/3;0%;0/1;0%;0/0;-;0/0;-;0/0;-
2439;Steinert, Christoph;HCE, RB;4/6;66.67%;1/1;100%;3/6;50%;0/0;-;0/0;-;0/0;-
2440;Mortensen, Casper Ulrich;HSV, LW;2/3;66.67%;1/3;33.33%;0/0;-;0/0;-;0/0;-;2/3;66.67%
2441;Budel, Nico;HCE, CB;0/0;-;2/2;100%;2/2;100%;0/0;-;0/0;-;0/0;-
2442;Jeppsson, Simon;HCE, LB;0/0;-;2/2;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
2443;Valiullin, Azat;HSV, LB;0/0;-;0/2;0%;4/7;57.14%;0/0;-;0/0;-;0/0;-
2444;Bissel, Christopher;HCE, LW;0/0;-;1/1;100%;0/0;-;1/1;100%;1/1;100%;0/0;-
2445;Fath, Steffen;HCE, LB;0/0;-;0/0;-;3/5;60%;0/0;-;0/0;-;0/0;-
2446;Tissier, Leif;HSV, CB;0/0;-;2/3;66.67%;1/1;100%;0/0;-;0/1;0%;0/0;-
2447;Bauer, Philipp;HSV, CB;0/0;-;0/1;0%;3/5;60%;0/0;-;0/0;-;0/0;-
2448;Weller, Niklas;HSV, P;1/2;50%;0/0;-;0/0;-;0/0;-;2/4;50%;0/0;-
2449;Spath, Manuel;HSV, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/3;33.33%;0/0;-
2450;Bergemann, Thies;HSV, RW;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
2451;Overby, Petter;HCE, P;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
2452;Forstbauer, Jan;HSV, RB;0/0;-;0/0;-;1/4;25%;0/0;-;0/0;-;0/0;-
2453;Link, Nikolai;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2454;Theilinger, Nicolai;HSV, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2455;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2456;Schimmelbauer, Tobias;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2457;Ossenkopp, Lukas;HSV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2458;Wullenweber, Finn;HSV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2459;Leban, Patrik;HCE, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2460;Marschall, Tarek;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2461;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
2462;Olsson, Hampus;HCE, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2463;Jaeger, Max;HCE, LW;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
2464;Sellin, Johannes;HCE, RW;0/0;-;0/0;-;0/1;0%;0/1;0%;0/0;-;0/0;-
2465;Andersen, Frederik Bo;HSV, RW;0/0;-;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-
2466;Lipovina, Vladan;HBW, RB;1/1;100%;4/5;80%;3/5;60%;0/0;-;0/0;-;0/0;-
2467;Schmidt, David;BHC, RB;0/0;-;3/3;100%;3/6;50%;0/0;-;0/0;-;0/0;-
2468;Gutbrod, Fabian;BHC, LB;0/0;-;0/0;-;5/7;71.43%;0/0;-;0/0;-;0/0;-
2469;Gunnarsson, Arnor Thor;BHC, RW;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-;1/1;100%
2470;Zintel, Bjorn;HBW, CB;0/0;-;4/4;100%;0/0;-;0/0;-;0/0;-;0/0;-
2471;Strosack, Moritz;HBW, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;3/3;100%
2472;Beciri, Kristian;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;4/6;66.67%;0/0;-
2473;Scott Junior, James;HBW, LB;0/0;-;1/1;100%;3/5;60%;0/0;-;0/0;-;0/0;-
2474;Arnesson, Linus;BHC, LB;2/2;100%;1/1;100%;1/5;20%;0/0;-;0/0;-;0/0;-
2475;Bergner, Tom;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/0;-
2476;Szucs, Csaba;BHC, CB;0/0;-;1/1;100%;1/1;100%;0/0;-;0/0;-;0/0;-
2477;Schoch, Jona;HBW, LB;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-
2478;Damm, Sebastian;BHC, LW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-
2479;Ingason, Daniel Thor;HBW, LB;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-
2480;Volz, Patrick;HBW, LW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;0/1;0%
2481;Weck, Alexander;BHC, LB;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-
2482;Stutzke, Lukas;BHC, LB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/1;0%
2483;Thomann, Gregor;HBW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2484;Boomhouwer, Jeffrey;BHC, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2485;Hansson, Emil;BHC, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2486;Schonningsen, Simen Nicolay;BHC, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2487;Heinzelmann, Tobias;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2488;Munzinger, Luca;HBW, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2489;Nikolaisen Svegard, Tom Kare;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2490;Huber, Elias;HBW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
