PL;Player Name;Team;Team Position;7M Goal;7M Shot;7MACC;6M Goal;6M Shot;6MACC;9M Goal;9M Shot;9MACC;Wing Goal;Wing Shot;WINGACC;Pivot Goal;Pivot Shot;PIVOTACC;Fastbreak Goal;Fastbreak Shot;FASTBREAKACC;Total Goal;Total Shot
85;Golla, Johannes;SGF;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;3;3;1,00;1;1;1,00;4;4
86;Korte, Mats;GWD;LW;0;0;0,00;0;0;0,00;0;0;0,00;4;4;1,00;0;0;0,00;0;1;0,00;4;5
87;Larsen, Mads Mensah;SGF;CB;0;0;0,00;2;4;0,50;2;2;1,00;0;0;0,00;0;0;0,00;0;0;0,00;4;6
88;Urban, Tomas;GWD;RW;2;2;1,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1;1,00;3;3
89;Pieczkowski, Niclas;GWD;CB;0;0;0,00;3;5;0,60;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;3;6
90;Meister, Lucas;GWD;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;2;2;1,00;0;0;0,00;2;2
91;Darmoul, Mohamed Amine;GWD;CB;0;0;0,00;2;3;0,67;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;2;4
92;Jakobsen, Emil;SGF;LW;1;2;0,50;0;0;0,00;0;0;0,00;1;3;0,33;0;0;0,00;0;0;0,00;2;5
93;Thiele, Joshua;GWD;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1;1,00;0;0;0,00;1;1
94;Hald Jensen, Simon;SGF;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1;1,00;0;0;0,00;1;1
95;Grebenc, Jan;GWD;LB;0;0;0,00;1;2;0,50;0;2;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;4
96;Zeitz, Christian;GWD;RB;0;0;0,00;0;1;0,00;1;4;0,25;0;0;0,00;0;0;0,00;0;0;0,00;1;5
97;Jukic, Nikola;GWD;RB;0;0;0,00;1;4;0,25;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;5
98;Bult, Mark;SGF;RB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
99;Steinhauser, Marius;SGF;RW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
100;Janke, Maximilian;GWD;CB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
101;Lindskog, Anton;SGF;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
102;Staar, Max;GWD;RW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
103;Richtzenhain, Justus Nicolas;GWD;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
104;Oscar van Oettingen;SGF;RB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
105;Schluroff, Miro;GWD;LB;0;0;0,00;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;1
106;Kranzmann, Florian;GWD;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;3;0,00;0;0;0,00;0;0;0,00;0;3
107;Schiller, Marcel;FAG;LW;4;5;0,80;0;0;0,00;0;0;0,00;5;5;1,00;0;0;0,00;2;2;1,00;11;12
108;Tissier, Leif;HSV;CB;0;0;0,00;5;6;0,83;2;3;0,67;0;0;0,00;0;0;0,00;1;1;1,00;8;10
109;Weller, Niklas;HSV;P;2;2;1,00;0;1;0,00;0;0;0,00;0;0;0,00;4;5;0,80;0;0;0,00;6;8
110;Kozina, Kresimir;FAG;P;0;0;0,00;1;1;1,00;0;0;0,00;0;0;0,00;3;3;1,00;0;0;0,00;4;4
111;Heymann, Sebastian;FAG;LB;0;0;0,00;2;4;0,50;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;3;6
112;Gulliksen, Kevin Maageroe;FAG;RW;1;1;1,00;0;0;0,00;0;0;0,00;3;6;0,50;0;0;0,00;0;0;0,00;4;7
113;Bauer, Philipp;HSV;CB;0;0;0,00;2;3;0,67;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;3;5
114;Bergemann, Thies;HSV;RW;0;0;0,00;0;0;0,00;0;1;0,00;3;4;0,75;0;0;0,00;0;1;0,00;3;6
115;Kneule, Tim;FAG;CB;0;0;0,00;1;1;1,00;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;2;3
116;Valiullin, Azat;HSV;LB;0;0;0,00;0;0;0,00;0;2;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;2
117;Forstbauer, Jan;HSV;RB;0;0;0,00;1;3;0,33;1;3;0,33;0;0;0,00;0;0;0,00;0;0;0,00;2;6
118;Bagersted, Jacob;FAG;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1;1,00;0;0;0,00;1;1
119;Ellebaek, Tobias;FAG;LB;0;0;0,00;1;1;1,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1
120;Lindenchrone Andersen, Jon;FAG;RB;0;0;0,00;0;1;0,00;0;0;0,00;1;1;1,00;0;0;0,00;0;0;0,00;1;2
121;Andersen, Frederik Bo;HSV;RW;0;0;0,00;1;1;1,00;0;0;0,00;0;2;0,00;0;0;0,00;0;0;0,00;1;3
122;Mortensen, Casper Ulrich;HSV;LW;0;1;0,00;0;0;0,00;0;0;0,00;1;4;0,25;0;0;0,00;0;0;0,00;1;5
123;Hermann, Till;FAG;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
124;Ossenkopp, Lukas;HSV;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
125;Kleineidam, Jan;HSV;CB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
126;Gertges, Jonas;HSV;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
127;Goller, Axel;FAG;RW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
128;Neudeck, Oskar;FAG;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
129;Spath, Manuel;HSV;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0,00;0;0;0,00;0;1
130;Schimmelbauer, Tobias;HSV;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0,00;0;0;0,00;0;0;0,00;0;1
131;Wullenweber, Finn;HSV;LB;0;0;0,00;0;0;0,00;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;1
132;Smarason, Janus Dadi;FAG;CB;0;0;0,00;0;1;0,00;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;2
133;Magnusson, Omar Ingi;SCM;RB;3;4;0,75;5;6;0,83;0;3;0,00;0;0;0,00;0;0;0,00;1;1;1,00;9;14
134;Lonn, Adam;TVB;LB;0;0;0,00;3;3;1,00;4;8;0,50;0;0;0,00;0;0;0,00;0;0;0,00;7;11
135;Peshevski, Zarko;TVB;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;6;6;1,00;0;0;0,00;6;6
136;Zieker, Patrick;TVB;LW;3;4;0,75;0;0;0,00;0;0;0,00;1;2;0,50;0;0;0,00;1;1;1,00;5;7
137;Weber, Philipp;SCM;CB;0;0;0,00;2;2;1,00;2;2;1,00;0;0;0,00;0;0;0,00;0;0;0,00;4;4
138;Weiss, Dominik;TVB;LB;0;0;0,00;0;1;0,00;4;7;0,57;0;0;0,00;0;0;0,00;0;0;0,00;4;8
139;Hornke, Tim;SCM;RW;0;0;0,00;0;0;0,00;0;0;0,00;3;3;1,00;0;0;0,00;0;0;0,00;3;3
