MatchId;Player Name;Team;Position;7M Save;7M Save Accuracy;6M Save;6M Save Accuracy;9M Save;9M Save Accuracy;Wing Save;Wing Save Accuracy;Pivot Save;Pivot Save Accuracy;Fastbreak Save;Fastbreak Save Accuracy
37;Zecher Finn;TBV;GK;0;0;0;0;0;0;0;0;0;0;0;0
38;Rebmann Daniel;FAG;GK;0;0;70;53,85;110;64,71;10;0,25;0;0;10;33,33
38;Mrkva Tomas;BHC;GK;10;0,5;20;28,57;10;16,67;20;0,5;10;16,67;0;0
38;Kastelic Urh;FAG;GK;10;33,33;0;0;0;0;0;0;0;0;0;0
38;Rudeck Christopher;BHC;GK;0;0;0;0;0;0;0;0;0;0;0;0
39;Bitter Johannes;HSV;GK;0;0;60;3,75;30;42,86;30;42,86;20;0,5;0;0
39;Klimpke Till;WET;GK;0;0;0;0;30;0,5;10;0,5;0;0;0;0
39;Suljakovic Anadin;WET;GK;0;0;10;33,33;20;33,33;0;0;10;33,33;0;0
39;Vortmann Jens;HSV;GK;0;0;0;0;0;0;0;0;0;0;0;0
40;Buric Benjamin;SGF;GK;0;0;10;33,33;80;61,54;10;0,2;20;1;0;0
40;Asheim Havard;NLB;GK;0;0;10;0,5;20;0,2;30;0,3;0;0;10;33,33
40;Rezar Aljosa;NLB;GK;0;0;0;0;10;33,33;0;0;10;0,5;0;0
40;Backhaus Theodor Felix;SGF;GK;0;0;0;0;10;0,5;0;0;10;1;0;0
41;Simic Nebojsa;MTM;GK;10;0,2;40;30,77;20;66,67;30;0,5;10;0,25;0;0
41;Ebner Domenico;HAN;GK;0;0;20;0,25;20;0,5;30;0,75;0;0;0;0
41;Heinevetter Silvio;MTM;GK;10;0,5;0;0;0;0;20;66,67;0;0;10;1
41;Lesjak Urban;HAN;GK;10;0,5;20;0,2;0;0;0;0;0;0;0;0
42;Landin Jacobsen Niklas;THW;GK;20;66,67;20;15,38;70;58,33;30;33,33;0;0;10;0,5
42;Lichtlein Carsten;GWD;GK;0;0;10;8,33;40;44,44;10;0,2;0;0;0;0
42;Grabitz Lucas;GWD;GK;0;0;0;0;10;0,5;0;0;0;0;0;0
42;Quenstedt Dario;THW;GK;0;0;0;0;0;0;0;0;0;0;0;0
43;Ziemer Martin;HCE;GK;10;33,33;10;0,2;10;0,25;0;0;10;33,33;0;0
43;Genz Fredrik;BER;GK;0;0;0;0;20;0,25;0;0;10;0,5;0;0
43;Ferlin Klemen;HCE;GK;0;0;10;16,67;20;0,4;0;0;0;0;0;0
43;Milosavljev Dejan;BER;GK;0;0;0;0;10;11,11;0;0;0;0;0;0
44;Palicka Andreas;RNL;GK;10;0,25;10;9,09;80;47,06;0;0;10;1,25;10;1
44;Thulin Tobias;TVB;GK;0;0;40;44,44;40;44,44;20;0,4;0;0;10;0,2
44;Prost Primoz;TVB;GK;10;33,33;0;0;0;0;0;0;0;0;0;0
44;Spath David;RNL;GK;0;0;0;0;0;0;0;0;0;0;0;0
45;Jensen Mike;SCM;GK;10;0,5;10;1,25;40;44,44;10;0,5;20;0,5;10;0,5
45;Heinevetter Silvio;MTM;GK;30;42,86;10;0,2;10;0,25;10;16,67;10;33,33;10;0,2
45;Simic Nebojsa;MTM;GK;20;66,67;0;0;0;0;0;0;0;0;0;0
45;Green Krejberg Jannick;SCM;GK;0;0;0;0;0;0;0;0;0;0;0;0
46;Rebmann Daniel;FAG;GK;20;0,4;30;0,25;50;83,33;30;0,5;0;0;0;0
46;Klimpke Till;WET;GK;0;0;0;0;20;0,5;20;0,25;10;0,5;0;0
46;Suljakovic Anadin;WET;GK;10;33,33;20;0,4;10;33,33;10;1;0;0;0;0
46;Kastelic Urh;FAG;GK;0;0;0;0;0;0;0;0;0;0;0;0
46;Buchele Julian;FAG;GK;0;0;0;0;0;0;0;0;0;0;0;0
47;Sejr Jensen Simon;HBW;GK;10;0,5;60;66,67;20;28,57;20;33,33;0;0;10;0,2
47;Lesjak Urban;HAN;GK;20;0,5;10;14,29;20;0,2;0;0;10;0,25;0;0
47;Ruminsky Mario;HBW;GK;0;0;0;0;0;0;10;1;0;0;0;0
47;Ritschel Matthias;HAN;GK;0;0;0;0;0;0;0;0;0;0;0;0
48;Johannesson Peter;TBV;GK;0;0;10;33,33;70;0,5;10;33,33;10;33,33;10;0,25
48;Ziemer Martin;HCE;GK;0;0;30;3,75;10;0,2;0;0;0;0;0;0
48;Zecher Finn;TBV;GK;10;0,25;0;0;10;0,5;0;0;0;0;0;0
48;Ferlin Klemen;HCE;GK;0;0;0;0;0;0;0;0;0;0;0;0
49;Rezar Aljosa;NLB;GK;10;0,25;0;0;60;0,5;20;28,57;0;0;10;1
49;Semisch Malte;GWD;GK;0;0;30;0,6;30;1;10;0,25;10;1;0;0
49;Lichtlein Carsten;GWD;GK;0;0;20;0,5;20;1;0;0;10;0,25;0;0
49;Asheim Havard;NLB;GK;0;0;0;0;0;0;0;0;0;0;0;0
50;Milosavljev Dejan;BER;GK;0;0;10;0,2;70;43,75;50;55,56;30;42,86;10;0,2
50;Landin Jacobsen Niklas;THW;GK;0;0;10;0,1;60;54,55;0;0;10;0,2;0;0
50;Quenstedt Dario;THW;GK;0;0;0;0;0;0;0;0;0;0;0;0
50;Genz Fredrik;BER;GK;0;0;0;0;0;0;0;0;0;0;0;0
51;M?ller Kevin;SGF;GK;0;0;30;33,33;30;0,5;10;0,2;10;0,2;0;0
51;Vortmann Jens;HSV;GK;0;0;50;55,56;0;0;10;16,67;0;0;0;0
51;Buric Benjamin;SGF;GK;0;0;30;0,6;20;1;10;0,5;0;0;0;0
51;Bitter Johannes;HSV;GK;0;0;0;0;20;1;10;0,25;0;0;0;0
52;Thulin Tobias;TVB;GK;10;1;20;28,57;10;14,29;10;1,25;20;28,57;20;0,2
52;Saeveraas Kristian Skinstad;LEI;GK;0;0;10;0,25;30;42,86;0;0;10;1;0;0
52;Birlehm Joel;LEI;GK;10;0,5;0;0;10;33,33;10;0,5;0;0;0;0
52;Prost Primoz;TVB;GK;0;0;0;0;0;0;0;0;0;0;0;0
53;Mrkva Tomas;BHC;GK;10;0,5;110;61,11;20;22,22;30;42,86;0;0;0;0
53;Katsigiannis Nikolas;RNL;GK;0;0;40;33,33;40;36,36;20;0,5;0;0;0;0
53;Rudeck Christopher;BHC;GK;0;0;0;0;0;0;0;0;0;0;0;0
53;Spath David;RNL;GK;0;0;0;0;0;0;0;0;0;0;0;0
54;Lesjak Urban;HAN;GK;10;0,2;60;35,29;10;33,33;10;33,33;0;0;20;66,67
54;Milosavljev Dejan;BER;GK;0;0;30;0,25;40;66,67;20;0,25;10;33,33;0;0
54;Ritschel Matthias;HAN;GK;0;0;0;0;0;0;0;0;0;0;0;0
54;Genz Fredrik;BER;GK;0;0;0;0;0;0;0;0;0;0;0;0
55;Simic Nebojsa;MTM;GK;10;0,2;50;35,71;50;6,25;10;0,25;0;0;30;42,86
55;Rebmann Daniel;FAG;GK;0;0;20;14,29;80;72,73;20;0,25;10;33,33;0;0
55;Heinevetter Silvio;MTM;GK;0;0;0;0;0;0;0;0;0;0;0;0
55;Klein Sebastian;FAG;GK;0;0;0;0;0;0;0;0;0;0;0;0
56;Ferlin Klemen;HCE;GK;10;0,25;10;0,2;90;0,75;30;42,86;0;0;0;0
56;Rezar Aljosa;NLB;GK;20;66,67;0;0;40;30,77;10;0,25;0;0;10;0,25
56;Asheim Havard;NLB;GK;0;0;0;0;30;1;0;0;0;0;0;0
56;Ziemer Martin;HCE;GK;0;0;0;0;0;0;0;0;0;0;0;0
57;M?ller Kevin;SGF;GK;10;0,25;10;11,11;10;11,11;30;0,75;10;1;0;0
57;Buric Benjamin;SGF;GK;0;0;0;0;50;0,5;0;0;0;0;0;0
57;Green Krejberg Jannick;SCM;GK;0;0;0;0;20;0,5;0;0;20;0,5;0;0
57;Jensen Mike;SCM;GK;0;0;0;0;10;14,29;30;0,5;0;0;0;0
58;Zecher Finn;TBV;GK;0;0;30;27,27;70;63,64;40;66,67;20;66,67;0;0
58;Landin Jacobsen Niklas;THW;GK;20;0,5;50;38,46;20;1;30;3,75;0;0;10;0,25
58;Quenstedt Dario;THW;GK;0;0;0;0;0;0;0;0;0;0;0;0
58;Muhlenstadt Timon;TBV;GK;0;0;0;0;0;0;0;0;0;0;0;0
59;Thulin Tobias;TVB;GK;0;0;10;8,33;80;72,73;20;0,4;10;0,2;40;0,5
59;Ruminsky Mario;HBW;GK;10;33,33;50;0,5;30;0,6;10;33,33;0;0;0;0
59;Sejr Jensen Simon;HBW;GK;0;0;0;0;10;0,25;0;0;0;0;0;0
59;Prost Primoz;TVB;GK;0;0;0;0;0;0;0;0;0;0;0;0
60;Bitter Johannes;HSV;GK;0;0;50;35,71;20;0,25;40;66,67;30;27,27;10;0,5
60;Semisch Malte;GWD;GK;10;33,33;40;28,57;0;0;30;3,75;0;0;0;0
60;Lichtlein Carsten;GWD;GK;10;1;0;0;0;0;0;0;0;0;10;0,5
60;Grundel Finn Luca;HSV;GK;0;0;0;0;0;0;0;0;0;0;0;0
61;Heinevetter Silvio;MTM;GK;0;0;50;6,25;60;0,5;0;0;10;0,2;0;0
61;Mrkva Tomas;BHC;GK;10;1;10;16,67;40;57,14;0;0;10;0,5;0;0
61;Rudeck Christopher;BHC;GK;0;0;30;0,25;0;0;0;0;0;0;0;0
61;Simic Nebojsa;MTM;GK;0;0;0;0;0;0;0;0;0;0;0;0
62;Saeveraas Kristian Skinstad;LEI;GK;0;0;40;44,44;30;42,86;30;1;30;33,33;10;33,33
62;Rebmann Daniel;FAG;GK;20;66,67;0;0;20;0,2;10;1;10;0,2;0;0
62;Kastelic Urh;FAG;GK;0;0;10;33,33;0;0;0;0;0;0;10;0,5
62;Klein Sebastian;FAG;GK;10;0,5;10;1;0;0;0;0;0;0;0;0
62;Birlehm Joel;LEI;GK;0;0;0;0;0;0;0;0;0;0;0;0
63;Ferlin Klemen;HCE;GK;10;33,33;50;0,25;30;0,3;30;42,86;10;0,25;0;0
63;Lesjak Urban;HAN;GK;0;0;0;0;60;33,33;20;0,4;0;0;0;0
63;Ziemer Martin;HCE;GK;0;0;0;0;0;0;0;0;0;0;0;0
63;Ritschel Matthias;HAN;GK;0;0;0;0;0;0;0;0;0;0;0;0
64;Bitter Johannes;HSV;GK;10;33,33;40;36,36;50;41,67;0;0;30;1;20;28,57
64;Ruminsky Mario;HBW;GK;10;16,67;20;0,4;30;0,6;10;16,67;0;0;0;0
64;Sejr Jensen Simon;HBW;GK;0;0;0;0;10;33,33;0;0;0;0;0;0
64;Vortmann Jens;HSV;GK;0;0;0;0;0;0;0;0;0;0;0;0
65;Green Krejberg Jannick;SCM;GK;0;0;50;71,43;50;35,71;30;3,75;10;14,29;0;0
65;Landin Jacobsen Niklas;THW;GK;10;0,25;10;14,29;50;6,25;40;0,8;20;18,18;0;0
65;Quenstedt Dario;THW;GK;0;0;0;0;0;0;0;0;0;0;0;0
