7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;SHOT;GOAL
0;0;2;1;0;0;4;1;0;0;3;0.67;9;8
1;0;0;0;1;1;1;0;0;0;2;1;5;3
0;0;0;0;1;0;0;0;0;0;1;1;2;1
2;0.5;1;1;0;0;4;1;0;0;0;0;7;6
0;0;1;1;0;0;0;0;0;0;0;0;1;1
0;0;0;0;0;0;3;0.33;0;0;0;0;3;1
0;0;0;0;0;0;3;0.67;0;0;1;1;4;3
0;0;0;0;0;0;2;0.5;0;0;0;0;2;1
0;0;0;0;0;0;0;0;0;0;2;0;2;0
0;0;1;1;0;0;2;1;0;0;1;1;4;4
5;0.8;0;0;0;0;0;0;0;0;1;0;6;4
0;0;1;1;0;0;2;1;0;0;0;0;3;3
0;0;0;0;1;0;1;1;0;0;0;0;2;1
3;1;0;0;0;0;1;0;0;0;0;0;4;3
0;0;0;0;0;0;1;1;0;0;1;1;2;2
2;0.5;0;0;0;0;3;0.33;0;0;1;0;6;2
0;0;3;1;0;0;2;0.5;0;0;0;0;5;4
1;1;0;0;0;0;5;0.4;0;0;1;1;7;4
2;0.5;1;1;0;0;2;0;0;0;2;0.5;7;3
0;0;0;0;0;0;7;0.29;0;0;0;0;7;2
0;0;0;0;0;0;1;1;0;0;2;1;3;3
3;0.67;2;0.5;0;0;0;0;0;0;0;0;5;3
0;0;0;0;0;0;2;0.5;0;0;2;0;4;1
2;0.5;0;0;0;0;5;0.6;1;1;4;0.75;12;8
0;0;0;0;1;0;2;1;0;0;1;1;4;3
4;0.75;0;0;0;0;1;0;3;0.67;0;0;8;5
0;0;0;0;0;0;1;0;1;1;2;0.5;4;2
1;0;0;0;0;0;0;0;0;0;0;0;1;0
0;0;1;1;0;0;2;1;0;0;1;1;4;4
0;0;1;1;0;0;2;0.5;0;0;1;1;4;3
4;0.75;0;0;1;1;4;1;0;0;0;0;9;8
0;0;0;0;0;0;1;1;0;0;5;0.8;6;5
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;0;0;0;0;6;0.67;0;0;0;0;6;4
