7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;SHOT;GOAL
0;0;1;1;2;0;0;0;0;0;0;0;3;1
0;0;0;0;0;0;0;0;0;0;1;0;1;0
0;0;0;0;1;0;0;0;0;0;0;0;1;0
0;0;3;0.67;13;0.62;0;0;0;0;0;0;16;10
0;0;1;1;6;0.5;0;0;0;0;0;0;7;4
0;0;3;1;2;0;0;0;0;0;0;0;5;3
0;0;1;1;1;0;0;0;0;0;0;0;2;1
0;0;1;0;0;0;0;0;0;0;0;0;1;0
0;0;1;0;2;0;0;0;0;0;0;0;3;0
1;0;2;1;6;0.67;0;0;0;0;0;0;9;6
0;0;3;1;3;0;0;0;0;0;0;0;6;3
0;0;1;1;5;0.4;0;0;0;0;0;0;6;3
0;0;4;0.25;6;0.17;0;0;0;0;0;0;10;2
0;0;10;0.7;1;1;0;0;0;0;0;0;11;8
0;0;3;0.67;3;1;0;0;0;0;0;0;6;5
5;1;5;0;4;0.5;0;0;1;1;0;0;15;8
0;0;3;1;4;0.5;0;0;0;0;0;0;7;5
0;0;7;0.43;3;0.33;0;0;0;0;0;0;10;4
0;0;2;0;3;0;0;0;0;0;1;1;6;1
0;0;0;0;5;0.8;0;0;0;0;0;0;5;4
0;0;4;0.25;4;0.25;0;0;0;0;1;1;9;3
0;0;1;1;2;0.5;0;0;0;0;0;0;3;2
0;0;2;0;1;1;0;0;0;0;0;0;3;1
1;0;1;1;8;0.63;0;0;0;0;1;1;11;7
0;0;4;1;1;1;0;0;0;0;0;0;5;5
0;0;2;0;6;0.67;1;0;0;0;0;0;9;4
0;0;1;1;1;1;0;0;0;0;0;0;2;2
0;0;1;0;1;0;0;0;0;0;0;0;2;0
0;0;3;0;7;0.57;0;0;0;0;1;0;11;4
0;0;0;0;1;1;0;0;0;0;0;0;1;1
0;0;0;0;1;0;0;0;0;0;0;0;1;0
0;0;2;0.5;1;0;0;0;0;0;0;0;3;1
0;0;1;0;0;0;0;0;0;0;0;0;1;0
0;0;0;0;1;0;1;0;0;0;0;0;2;0
0;0;1;1;9;0.44;0;0;0;0;0;0;10;5
0;0;1;1;3;0.67;0;0;0;0;0;0;4;3
0;0;0;0;3;0.33;0;0;0;0;0;0;3;1
0;0;3;0.33;4;0.5;0;0;0;0;0;0;7;3
0;0;2;1;1;0;0;0;0;0;0;0;3;2
0;0;2;0.5;3;0.33;0;0;0;0;0;0;5;2
0;0;1;1;0;0;0;0;0;0;0;0;1;1
0;0;1;0;5;0;0;0;0;0;0;0;6;0
0;0;5;0.6;5;0.4;0;0;0;0;1;1;11;6
0;0;6;0.5;2;0;0;0;0;0;0;0;8;3
0;0;1;0;1;0;0;0;0;0;0;0;2;0
0;0;4;0.75;1;1;0;0;0;0;1;1;6;5
0;0;1;1;0;0;0;0;1;1;1;1;3;3
0;0;0;0;5;0.6;0;0;0;0;0;0;5;3
0;0;0;0;3;0;0;0;0;0;0;0;3;0
0;0;4;0.5;3;0.67;0;0;0;0;0;0;7;4
0;0;2;1;1;0;0;0;0;0;1;1;4;3
0;0;1;1;1;1;0;0;0;0;0;0;2;2
0;0;2;0.5;1;1;0;0;0;0;0;0;3;2
0;0;3;0.33;1;0;0;0;0;0;0;0;4;1
0;0;1;0;2;0;0;0;0;0;0;0;3;0
0;0;1;0;2;0;0;0;0;0;0;0;3;0
5;0.8;0;0;2;0.5;0;0;1;0;2;1;10;7
0;0;1;1;8;0.5;0;0;0;0;0;0;9;5
0;0;1;0;2;1;0;0;0;0;1;0;4;2
0;0;1;1;4;0.25;0;0;0;0;0;0;5;2
0;0;0;0;0;0;0;0;0;0;1;1;1;1
